Program:,Program link:,County:,Savings (electricity consumption reduction in kwh):,MEA contribution:,Total project cost:,Location 1
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.866,997.40,2665.84,"Glenwood, MD 217389746
(39.27975000036241, -77.021290000433)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.878,1039.08,2683.12,"Potomac, MD 208544080
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,1.885,1042.55,2693.00,"Frederick, MD 217047826
(39.36518999961896, -77.38134999960266)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.88,1004.75,2685.00,"Bethesda, MD 208141505
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,1.914,1021.79,2733.67,"Easton, MD 216018109
(38.7769499999427, -76.07552000044751)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.893,1046.49,2704.25,"Upper Marlboro, MD 207741900
(38.886099999915245, -76.8031400002107)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.905,1017.61,2721.75,"Bethesda, MD 208172308
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.911,1055.50,2730.00,"North Potomac, MD 208784703
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.95,1039.75,2785.00,"Capitol Heights, MD 207431538
(38.88363999978634, -76.9043199995682)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.936,1067.78,2765.10,"Rockville, MD 208522430
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.933,926.51,2761.55,"Takoma Park, MD 209125810
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Caroline,1.942,1036.22,2774.90,"Denton, MD 216293458
(38.87019000006859, -75.82979000000836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.939,1069.71,2770.60,"Silver Spring, MD 209062051
(39.08385999963946, -77.06319999958015)"
