Program:,Program link:,County:,Savings (electricity consumption reduction in kwh):,MEA contribution:,Total project cost:,Location 1
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Wicomico,5.329,2729.55,7613.00,"Delmar, MD 218751743
(38.44256999970588, -75.56286999995041)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.248,2723.97,7497.05,"Bethesda, MD 208141315
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,5.236,2287.40,7480.00,"Jarrettsville, MD 211312301
(39.50694000018103, -76.56867000012028)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.32,1605.00,7600.00,"Potomac, MD 208542748
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.27,2375.41,7528.68,"Rockville, MD 208546181
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Carroll,5.252,2594.80,7503.00,"Sykesville, MD 217847102
(39.39960000004015, -76.96358999977849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,5.278,2690.00,7540.00,"Middletown, MD 217698131
(39.44272000012808, -77.54914999997237)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.696,2947.90,8136.70,"North Potomac, MD 208782575
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,5.447,1696.35,7781.00,"Clarksville, MD 210290120
(39.202059999669416, -76.94143999995589)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,5.385,2634.76,7692.18,"Cockeysville, MD 210302648
(39.4753900003484, -76.63367999973207)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,5.487,2596.90,7839.00,"Towson, MD 212046431
(39.402319999568476, -76.6159899996386)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,5.547,2398.35,7924.00,"Phoenix, MD 211311209
(39.50694000018103, -76.56867000012028)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,5.6,2760.00,8000.00,"Annapolis, MD 214016902
(38.983799999770326, -76.52959999974007)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Wicomico,5.405,2640.20,7722.00,"Delmar, MD 218752157
(38.44256999970588, -75.56286999995041)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.524,2691.85,7891.00,"Rockville, MD 208512208
(39.07642000008309, -77.1214399999559)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.424,2811.86,7748.16,"Chevy Chase, MD 208154844
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.6,2900.00,8000.00,"Potomac, MD 208544606
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,5.676,2870.95,8109.00,"Baltimore, MD 212123802
(39.36462999987475, -76.61039000039807)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Charles,5.484,2622.91,7834.60,"Port Tobacco, MD 206772023
(38.505280000271966, -77.03786000013872)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.863,1715.00,8375.00,"Chevy Chase, MD 208154226
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.713,2816.35,8161.00,"Silver Spring, MD 209061865
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.705,1753.75,8150.00,"Silver Spring, MD 209023857
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,5.842,2396.38,8345.45,"Ocean Pines, MD 218111687
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.769,2769.70,8242.00,"Garrett Park, MD 208960005
(39.035669999570985, -77.09360000033956)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.705,2852.50,8150.00,"Beallsville, MD 208393350
(39.17672000022799, -77.41225999959914)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.945,3072.73,8493.50,"Bethesda, MD 208176704
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.248,2305.00,8925.00,"Bethesda, MD 298175435
(33.35714000011109, -81.27254999968261)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,6.157,2666.10,8796.00,"Baltimore, MD 212102546
(39.35001999972337, -76.63188000036155)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,6.028,2179.32,8611.29,"Columbia, MD 210461001
(39.17356999975584, -76.84446000002885)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,6.09,2971.75,8700.00,"Ellicott City, MD 210425705
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.213,1876.25,8875.00,"Potomac, MD 208542829
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.125,3100.00,8750.00,"Derwood, MD 208551830
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,6.256,3000.45,8937.00,"Accokeek, MD 206072808
(38.669390000448345, -77.01567000027012)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.188,3054.00,8840.00,"Takoma Park, MD 209124615
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Queen Anne's,6.259,3100.00,8941.35,"Centreville, MD 216172508
(39.0495100001865, -76.04999999989991)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.03,2095.00,8614.04,"Bethesda, MD 208162671
(38.9582699996609, -77.11435999991392)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.02,3005.00,8600.00,"Bethesda, MD 208173727
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,6.195,2270.00,8850.00,"University Park, MD 207821147
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.422,3100.00,9174.00,"Bethesda, MD 208171557
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,6.299,3100.00,8999.00,"Ellicott City, MD 210436539
(39.25913000004965, -76.80269999970506)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.437,3100.00,9195.00,"North Bethesda, MD 208523442
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,6.405,3100.00,9150.50,"Royal Oak, MD 216620000
(38.71071000026649, -76.19444000040556)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.335,3100.00,9050.00,"Silver Spring, MD 209104120
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Queen Anne's,6.615,3087.50,9450.00,"Church Hill, MD 216231316
(39.12561999996319, -75.96558000001681)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Charles,6.49,3100.00,9271.00,"La Plata, MD 206465701
(38.52486999985075, -76.98415999958416)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,6.3,3100.00,9000.00,"Davidsonville, MD 210351706
(38.93626999956098, -76.633130000449)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.396,3100.00,9136.79,"Potomac, MD 208545490
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Wicomico,6.718,2911.92,9596.67,"Salisbury, MD 218016161
(38.35645030633674, -75.64324000012573)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.942,3100.00,9917.00,"Silver Spring, MD 209011874
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Queen Anne's,6.932,1867.11,9903.51,"Stevensville, MD 216663706
(38.947400000209996, -76.33155000013227)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.703,3100.00,9575.00,"Rockville, MD 208502051
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.685,2243.75,9550.00,"Kensington, MD 208953136
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.909,3100.00,9870.00,"Ashton, MD 208619718
(39.15033000002967, -77.0014799997021)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,6.82,2851.28,9743.00,"St. Michaels, MD 216632864
(38.78567000007064, -76.22500000044948)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,7.041,3100.00,10058.00,"Severna Park, MD 211464572
(39.080199999930244, -76.5567400003506)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.825,3092.50,9750.00,"Rockville, MD 208532374
(39.09251000013654, -77.09383999971607)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Washington,6.781,3000.00,9687.50,"Keedysville, MD 217561315
(39.455679999732354, -77.69741999993289)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Queen Anne's,6.922,1927.26,9889.00,"Stevensville, MD 216663040
(38.947400000209996, -76.33155000013227)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Caroline,6.921,3100.00,9887.70,"Greensboro, MD 216391442
(38.96743000029443, -75.80228000032162)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Harford,7.274,3100.00,10391.60,"Pylesville, MD 211321332
(39.69513999971139, -76.42645999992891)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,7.192,3100.00,10274.01,"Oxford, MD 216540253
(38.68540999997168, -76.14127000001037)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,7.309,2538.10,10441.00,"Columbia, MD 210443694
(39.21588000026196, -76.87450999993638)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,7.266,3100.00,10380.00,"Annapolis, MD 214031332
(38.95672000012809, -76.48971000021618)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,7.357,2051.25,10510.00,"Camp Springs, MD 207484044
(38.818539999621464, -76.94332000031761)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Harford,7.27,2833.75,10385.00,"Fallston, MD 210471821
(39.5219099998468, -76.42654999958268)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,7.249,1648.75,10355.00,"Chevy Chase, MD 208153911
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,7.332,2163.50,10473.58,"Potomac, MD 208541801
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,7.107,2872.60,10153.50,"Silver Spring, MD 209053868
(39.106229999714856, -76.99006999963063)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,7.298,2793.95,10425.00,"Bethesda, MD 208171544
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,7.17,2890.45,10243.00,"Baldwin, MD 210139212
(39.513240000226006, -76.49675000021216)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,7.416,3100.00,10594.00,"Catonsville, MD 212284521
(39.2773199998183, -76.73769999965509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,7.865,3100.00,11235.00,"Silver Spring, MD 209101663
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,8.397,3100.00,11995.00,"Baltimore, MD 212181003
(39.32610999967693, -76.61000999996139)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,8.085000000000001,3100.00,11550.00,"Reisterstown, MD 211365522
(39.461190000218494, -76.81506999998038)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,8.271000000000001,1829.70,11816.00,"Chevy Chase, MD 208153720
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,8.393000000000001,3100.00,11989.86,"Gaithersburg, MD 208785215
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,8.082000000000001,2728.75,11545.00,"Silver Spring, MD 209053752
(39.106229999714856, -76.99006999963063)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,8.050000000000001,3100.00,11500.00,"Chevy Chase, MD 208155414
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,7.428,3100.00,10612.00,"Baltimore, MD 212346116
(39.38911000012655, -76.5410800003416)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,7.82,3100.00,11171.00,"Dayton, MD 210361103
(39.23501999977333, -77.00052999995938)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,8.065,3100.00,11521.31,"Cockeysville, MD 210303317
(39.4753900003484, -76.63367999973207)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Washington,8.225,2956.25,11750.00,"Williamsport, MD 217951310
(39.594680000281926, -77.81254999958264)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,9.188000000000001,3100.00,13126.00,"Hunt Valley, MD 210301713
(39.4753900003484, -76.63367999973207)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,9.484999999999999,3100.00,13550.00,"Burkettsville, MD 217189216
(39.39206000036887, -77.62761000020117)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,10.956,3100.00,15651.65,"Oxford, MD 216541604
(38.68540999997168, -76.14127000001037)"
